,comment_text,true_labels,pred_labels
0,merry server desperate need money . one day blue peter one customer asked pretend girlfriend thanksgiving holiday . seemed serious money would certainly help merry accepted proposal . went visit family sweet mother welcomed merry open arm . believed merry son going get married . merry concerned peter mother getting excited fake relationship . concerned peter son seem get along . perhaps way merry could help peter family,['Romance'],['Romance']
1,sugita handsome skilled newcomer company get along everyone everyone except petite assistant manager yumihara tend strict . one day lunch break sugita find small secluded coffee shop named dead copy feature special table dedicated playing retro game . surprise also spot yumihara completely immersed game like child opposite strict attitude show back office,"['Comedy', 'Romance']",['Yaoi']
2,kashiwagi koichi recently moved cousin house father barely talked recent year pass away . cousin four female sibling ranging age adult young child chizuru azusa kaede hatsune . parent died year ago koichi father girl uncle became guardian . koichi fit perfectly household although kaede seems act reserved around . soon start vivid dream homicidal monster . try brush get worse every time start hear haunting voice along dream . scare koichi dream might reality,['Drama'],['Supernatural']
3,man love yeena yoon world gunho yoo . girl scared gunho yoo world yeena yoon . love letter meant brother juhyung yoo end hand scary gunho . could even correct situation reply accept confession,"['Drama', 'Romance']","['Romance', 'Shoujo']"
4,girl wealthy family accidentally lost virginity . get insulted party waking next morning . swore get revenge got closer instead,"['Drama', 'Romance']","['Drama', 'Romance']"
5,death criminal lived jail country palom entering mad game progress . battle freedom . meaning freedom . spill scum blood like butcher massacring people flavor freedom . swore use legend sword hand breaking apart shackle world,"['Action', 'Adventure', 'Fantasy']","['Action', 'Fantasy']"
6,ippo ready face greatest test thus far boxer next opponent completely unlike anyone fought . cool calculating possessing intelligence rivaled ferocity brain ippo brawn . make matter worse old rival coach kamogawa past returned guide ippo genius opponent brings knowledge secret attack supposed unbeatable,"['Action', 'Drama', 'Shounen']",['Drama']
7,lone mercenary traveling foreign land forced participate street brawl fighting back back gun toting man wearing pelt around shoulder . emerge attack unscathed man order become bodyguard . mercenary turned bodyguard learn surprising fact spirited fighter king near daily assassination attempt majesty obvious disdain life palace easy one . eventually bodyguard begin realize reason behind king arrogant demeanour one becomes determined find . still protect man want protected,"['Action', 'Fantasy']",['Action']
8,slapstick comedy three pretty girl struggling earn living pilot iron goblin delivery vessel . computer answer back space pirate tail romantic entanglement client cause friction trio . final episode throw alien eterna race mix,"['Comedy', 'Sci Fi']",['Comedy']
9,unfair heaven strange world wing forged flight god forsaken duck chicken ostrich . teasing dream soaring sky confining earth . world everyone born god blessing anomaly . ergera outclass god abandoned whilst simultaneously saving people love,"['Action', 'Romance', 'Supernatural']","['Adventure', 'Comedy', 'Fantasy']"
